Ticker,MCapM,MCapFinnhubM,SharesOutstandingM,MCapDivergenciaPct,MCapEstado,Pais,Industria,High52,Low52,regime_reporte,Nome,destino,motivo,faltas,Price,AvgVolN,RelVol,TendVol,RSI,SMA20_pct,Eco,Vol20d
GRCE,32.177600000000005,33.84997546666667,15.47,5.197328162034043,DIVERGENTE,US,Pharmaceuticals,5.18,1.79,10-Q,"Grace Therapeutics, Inc. Common Stock",PASSA_FASE0,,0,2.08,311294.66622990475,4.35875236744629,0.604798839801206,28.68705812259131,-12.916056102156148,1.0,45.87362345420059
EU,205.905,315.26880310515173,194.25,53.11371899912665,DIVERGENTE,US,Energy,5.88,1.6,10-Q,enCore Energy Corp.,PASSA_FASE0,,0,1.06,3069209.614326984,1.2349405916269212,0.7882720787663503,33.042673979388226,-13.68078175895765,1.2429202818636913,62.7256905293772
ORC,1316.5919999999999,1309.3985965540332,200.7,0.54636542269485,COERENTE,US,Real Estate,8.4,6.415,10-Q,"Orchid Island Capital, Inc.",PASSA_FASE0,,0,6.56,4968213.680268984,1.385728312677417,1.0024966754506408,40.92972886247192,-2.901124925991716,1.0265963276552743,18.084860809340466
BYRN,98.24770000000001,98.26223004030226,22.69,0.014789191301423088,COERENTE,US,Aerospace & Defense,30.62,3.165,10-Q,"Byrna Technologies, Inc. Common Stock",PASSA_FASE0,,0,4.33,701189.3148287144,2.5176659629236364,1.7511735062448166,47.48111229545358,-1.4509246088193373,3.022469514309489,172.54914405476848
JELD,110.272,110.2736898245614,86.15,0.001532414902594148,COERENTE,US,Building,6.975,0.925,10-Q,"JELD-WEN Holding, Inc.",PASSA_FASE0,,0,1.28,1726976.7430257304,1.4324094436164294,0.7041430857147809,48.70942018346516,5.090311986863694,1.0,75.19555925996599
YYGH,11.712499999999999,1.32,9.37,88.7299893276414,DIVERGENTE,SG,Commercial Services & Supplies,5175.0,1.02,20-F,YY Group Holding Limited Class A Ordinary Shares,PASSA_FASE0,,0,1.25,1499405.581458396,1.4331385054095347,1.0269934610632416,26.78468475165799,-1.5360378101614836,5.968461686699161,134.19801962275017
GMM,5.244700000000001,5.7135,1.79,8.938547486033489,DIVERGENTE,CN,Media,161.75,1.8,20-F,Global Mofy AI Limited Class A Ordinary Shares,PASSA_FASE0,,0,2.93,4272609.80670781,5.394644226956731,2.1019894391537357,36.26807947355217,4.530859793078856,6.012282890880953,375.7063450834373
PYPD,78.21360000000001,77.85960614400001,19.17,0.45259885237349806,COERENTE,IL,Pharmaceuticals,5.73,3.06,20-F,PolyPid Ltd. Ordinary Shares,PASSA_FASE0,,0,4.08,200407.43979644444,2.173868859980962,1.7284878375597896,41.94705047573962,-14.85809682804674,5.117685972602976,138.01742341386696
ZTG,32.123200000000004,17.95,11.81,44.12138267669473,DIVERGENTE,MO,Professional Services,4.4289,1.35,DESCONHECIDO,Zenta Group Company Limited Class A Ordinary Shares,PASSA_FASE0,,2,2.72,365834.9914436032,1.5026358398107027,0.2331371717125593,50.92332732616787,-1.6985905312612792,1.0,126.5815484556279
DCX,21.405600000000003,21.410958093126386,19.82,0.02503126810919909,COERENTE,CN,Automobiles,3408.0,0.6301,20-F,Digital Currency X Technology Inc. Class A Ordinary Shares,PASSA_FASE0,,0,1.08,581768.9181886667,18.655199029598872,2.3658416409020746,48.15701902238348,18.92570446962438,1.5823884059950797,148.87373020537711
JBDI,23.0263,11.512584212962965,19.03,50.00245713396001,DIVERGENTE,SG,Packaging,6.0,0.78,20-F,JBDI Holdings Limited Ordinary Shares,PASSA_FASE0,,0,1.21,122478.04636714287,4.175273327001626,0.8851924693749433,50.38496957608604,-1.6260162601625994,1.0,120.47696379714436
USIO,54.372,54.36411090769231,27.6,0.014509476031210333,COERENTE,US,Financial Services,2.62,1.03,10-Q,"Usio, Inc. Common Stock",PASSA_FASE0,,0,1.97,133838.86992692063,1.5102713592125343,1.2239627638756694,46.24975802663858,-9.425287356321832,2.1169799338665176,75.26634528512214
