Ticker,na_shortlist,A,B,C,B_rsi,B_macd,B_bounce,C_lateral,C_hl,C_coil,n
LPRO,False,True,False,True,False,False,False,False,True,True,2
CYN,False,True,False,False,False,False,False,False,False,False,1
SST,False,False,False,False,False,False,False,False,False,False,0
INGN,False,False,False,True,False,False,False,True,False,True,1
CV,False,True,False,True,False,False,False,True,True,False,2
LNKS,False,False,False,True,False,False,False,False,False,True,1
CVGI,False,False,False,True,False,False,False,True,False,True,1
AIRJ,False,True,True,False,False,True,True,False,False,False,2
BNGO,False,False,False,True,False,False,False,True,False,False,1
BRAI,True,True,False,True,False,False,False,False,False,True,2
CMTL,False,False,False,True,False,False,False,False,False,True,1
LZMH,False,False,False,True,False,False,False,False,False,True,1
OPTX,False,True,False,True,False,False,False,False,False,True,2
PZG,False,False,False,True,False,False,False,True,False,False,1
XXI,True,True,False,False,False,False,False,False,False,False,1
ANGI,False,True,False,True,False,False,False,True,True,True,2
TROX,False,False,False,True,False,False,False,False,False,True,1
IMSR,False,False,True,True,False,True,False,False,False,True,2
BCTX,False,False,False,True,False,False,False,True,True,True,1
QCLS,False,True,False,True,False,False,False,False,False,True,2
AREN,False,False,True,True,False,False,True,False,True,False,2
SBET,False,False,False,True,False,False,False,False,True,False,1
DSY,False,True,False,True,False,False,False,False,True,True,2
NCRA,False,True,True,False,True,False,True,False,False,False,2
NPWR,False,False,False,True,False,False,False,False,False,True,1
EPRX,True,True,False,True,False,False,False,True,False,False,2
LTRX,False,False,False,True,False,False,False,False,False,True,1
LZM,False,False,True,True,False,True,False,False,False,True,2
YAAS,False,True,True,False,False,True,True,False,False,False,2
BIRD,False,False,False,True,False,False,False,False,False,True,1
NYXH,False,False,False,True,False,False,False,False,False,True,1
LENZ,False,True,True,False,True,False,True,False,False,False,2
EDSA,False,True,False,True,False,False,False,False,False,True,2
GRNT,False,False,False,True,False,False,False,True,True,True,1
STEM,False,True,False,True,False,False,False,False,False,True,2
ACH,False,False,False,True,False,False,False,True,True,False,1
PLYX,False,False,False,True,False,False,False,False,False,True,1
IRD,False,False,True,False,True,True,True,False,False,False,1
CRCT,False,False,True,True,False,True,True,True,False,False,2
DWSN,False,True,False,False,False,False,False,False,False,False,1
TYGO,False,False,False,False,False,False,False,False,False,False,0
ASLE,False,False,True,True,False,True,False,True,False,False,2
WNW,False,False,False,True,False,False,False,False,False,True,1
FWDI,False,True,False,True,False,False,False,True,True,False,2
OSG,False,False,False,True,False,False,False,True,False,True,1
JFB,False,False,False,False,False,False,False,False,False,False,0
MLGO,False,False,False,True,False,False,False,False,True,True,1
AIV,False,False,False,True,False,False,False,False,False,True,1
BTGO,False,False,False,True,False,False,False,False,False,True,1
EMAT,False,False,False,True,False,False,False,False,False,True,1
SPWH,False,False,False,True,False,False,False,True,False,True,1
SHIM,False,True,True,True,False,True,False,False,True,True,3
QUCY,False,False,True,True,False,True,False,False,False,True,2
PACK,False,True,False,True,False,False,False,True,False,False,2
NMG,False,False,True,False,True,False,False,False,False,False,1
ORGO,False,False,True,True,False,True,False,True,True,False,2
EOSE,False,True,False,True,False,False,False,False,False,True,2
INV,False,False,False,False,False,False,False,False,False,False,0
PGEN,False,False,False,True,False,False,False,False,True,True,1
AHMA,False,True,False,True,False,False,False,False,False,True,2
FRMM,False,True,False,True,False,False,False,False,True,False,2
KEEL,False,False,False,False,False,False,False,False,False,False,0
NCT,False,False,True,True,False,True,False,False,True,True,2
BRBS,False,False,False,True,False,False,False,True,True,False,1
AGEN,False,True,False,True,False,False,False,False,True,False,2
HOVR,False,False,True,True,True,False,False,False,False,True,2
SABR,False,False,False,True,False,False,False,True,False,True,1
